,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frary_Lunch_Grilled Halal Chicken Breast,Frary,Lunch,Grill Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frary_Lunch_Fries/Shoestring BAG,Frary,Lunch,Grill Station,Fries/Shoestring BAG,2040.16 BAG,3363.77,96.19,12.05,0,0,720.71,552.63,47.99,0,NA,47.99,0,57.59,0,8.58,NA,NA,N/A,N/A,Soy,"Shoestring Fries (Potatoes, Vegetable Oil (Contains One Or More Of The THIS ITEM IS FRIED: Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2% Or Less Of Dextrose, Sodium Acid Pyrophosphate Added To Maintain Natural Color.)"
Frary_Lunch_Onion Rings,Frary,Lunch,Grill Station,Onion Rings,85.00 FHP2,130.24,0,0,0,0,503.58,28.65,0.87,2.6,NA,3.47,0,2.09,0,0.63,0,0,N/A,N/A,"Milk, Wheat","Onion Ring (Onions, Water, Bleached Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Potato Starch, Contains 2% Or Less Of Dextrose, Natural Flavor, Salt, Whey, Yeast)"
Frary_Lunch_Tomato Basil Bisque,Frary,Lunch,Soup Station,Tomato Basil Bisque,236.00 GAL,145.4,9.77,6.42,NA,37.68,411.14,11.45,2.05,4.93,NA,1.47,687.79,13.82,31.61,1.13,11.79,0,N/A,N/A,"Milk, Soy, Wheat","Water, Vine-Ripened Tomatoes, Salt, Citric Acid, And Calcium Chloride, White Onion, Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Celery, Tomatoes, Parmesan Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes), Powdered Cellulose To Prevent Caking, Natamycin To Protect Flavor, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Unsalted Butter (Pasteurized Cream), Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sour Culture, Salt, Yeast, Semolina, Garlic, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice,, Basil, Cane Sugar, Whole Fennel Seed, Canola Oil, Kosher Salt, Black Pepper, Dill, Bay Leaf, Garlic, Paprika, Marjoram, Thyme, Rosemary, Savory, Sage, Oregano, And Basil"
Frary_Lunch_Harvest Salad,Frary,Lunch,Salad Bar,Harvest Salad,85.00 HHP4,105.87,6.48,2.39,NA,9.52,201.39,9.54,1.89,6.33,NA,3.19,1359.17,8.8,77.21,0.51,61.87,0,N/A,N/A,Milk,"Avocado, Tomato, Baby Spinach, Blue Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Natamycin To Protect Flavor, Red Onion, Raspberries, Corn Syrup, High Fructose Corn Syrup, Sugar, Citric Acid, Pectin, Sodium Benzoate, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Red Wine Vinegar, Water, Potassium Metabisulfite, Dried Cranberries (Cranberries, Sugar, Sunflower Oil), Kosher Salt, Black Pepper"
Frary_Lunch_Brookie,Frary,Lunch,Desserts,Brookie,97.07 PCE,284.046,6.67598,1.93458,0.00659895,63.8698,55.2815,52.4395,1.41979,36.6837,NA,4.82299,89.0858,NA,11.6959,2.17317,15.8276,1.19E-09,N/A,N/A,"Egg, Milk, Soy, Wheat","Cane Sugar, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Egg, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Enriched Bleached Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Semi-Sweet Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin, Vanilla Extract, Milk), Margarine (Palm Oil, Water, Contains 2% Or Less Of: Salt, Mono- And Diglycerides, Natural Flavor, Citric Acid, Vitamin A Palmitate Added, Beta Carotene Color), Eggs, Butter (Cream Milk, Salt), Contains 2% Or Less Of: Molasses, Water, Baking Soda, Salt, Natural And Artificial Flavor, Made In A Bakery That Also Processes Peanuts And Tree Nuts (Almonds, Coconut, Macadamis Nuts, Pecans, And Walnuts), Natural Process Cocoa"
Frary_Lunch_Snickerdoodle Cookie,Frary,Lunch,Desserts,Snickerdoodle Cookie,58.00 COOK,264.97,10.94,5.97,NA,19.9,218.9,39.04,1.05,23.02,NA,2.99,NA,0,2.13,0.38,0.08,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Enriched Bleached Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Margarine (Palm Oil, Water, Contains 2% Or Less Of: Salt, Mono- And Diglycerides, Natural Flavor, Citric Acid, Vitamin A Palmitate Added, Beta Carotene Color), Eggs, Butter Cream (Milk), Salt, Contains 2% Or Less Of: Invert Sugar, Salt, Baking Soda, Soy Flour., Cane Sugar, Cinnamon"
Frary_Lunch_Vegan Banana Cake with Vegan Streusel Topping,Frary,Lunch,Desserts,Vegan Banana Cake with Vegan Streusel Topping,78.00 EA,187.86,5.16,2.08,NA,0,210.41,34.02,1.35,19.44,NA,2.12,14.86,2.24,26.89,0.98,15.14,0,N/A,N/A,"Soy, Wheat","Bananas, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cane Sugar, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (Preservative)), Brown Sugar, Expeller-Pressed Natural Oil Blend (Soybean, Palm Fruit, Canola And Olive), Filtered Water, Pure Salt, Natural Flavor (Derived From Corn, No Msg, No Alcohol, No Gluten), Soy Protein, Soy Lecithin, Lactic Acid (Derived From Sugar Beets), And Naturally Extracted Annatto For Color, Gluten Free Rolled Oats, Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate, Cornstarch), Iodized Salt, Sodium Bicarbonate, Nutmeg, Cinnamon"
Frary_Dinner_Mediterranean Grilled Chicken Thigh,Frary,Dinner,Mainline,Mediterranean Grilled Chicken Thigh,85.00 FHP2,185.14,12.26,1.56,0.02,76.42,266.68,2.64,0.44,0.76,NA,16.3,220.96,5.29,17.95,0.97,4.25,0,N/A,N/A,Soy,"Chicken Skinless Thigh, Red Onion, Canola Oil, Virgin Olive Oil, Beta-Carotene (Color), Lemon Juice, Garlic, Parsley, Kosher Salt, Oregano, Black Pepper, Paprika, Nutmeg, Ground Allspice"
Frary_Dinner_Steamed Basmati Rice,Frary,Dinner,Mainline,Steamed Basmati Rice,85.00 FHP2,94.24,0,0,NA,0,2.27,21.99,0,0,NA,1.89,0,0,1.7,0.68,0,0,N/A,N/A,,"Water, White Basmati Rice"
